"Item #","Qty","UPC","Aux 1","Desc 1","Desc 2","Size","Attr","Aux 5","Aux 2","Inven P$T$","Desc 3","Desc 4","Aux 6"
"327246","2","8057735476169","201810","56C00092_1T000650","BLOUSE GEORGETTE W/VISCOSE CRE","42","K299","BLACK","TRUSSARDI JEANS WOMA","99,00","VISCOSA CREPE LEGGERA","BLOUSE","Shirt     Blusa"
"407694","2","8057735607044","201850","52C00075_1T001663","SHIRT CLOSE MIAMI COLLAR FLANE","41","R290","BORDEAUX","TRUSSARDI JEANS MAN","65,00","FLANEL CHECK","SHIRT","Shirt     Miami coll"
"309008","2","8057735186037","201810","52T00084_1T000790","T-SHIRT REGULAR FIT WITH PRINT","M","E150","GREY","TRUSSARDI JEANS MAN","39,00","COTTON JERSEY","T-SHIRT WITH PRINT","T-shirt   T-shirt"
"360995","2","8057735545032","201721","56T00133_1T001640","T-RAINBOW JERSEY STRETCH  SLIM","S","W001","2309","TRUSSARDI JEANS WOMA","39,00","JERSEY STRETCH","T-SHIRT","T-shirt   T-shirt"
"298492","2","8057735172498","201750","56M00014_0F000013","V-NECK","L","R290","BORDEAUX","TRUSSARDI JEANS WOMA","95,00","WOOL  SHINY VISCOSE BLEND","SCOLLO V","Knitwear  Knit"
"300472","2","8057735002047","201750","75B00000_1Y000043","ISCHIA  ECOLEATHER PRINTED STU","NR","M250","2580","JEANS LEATHER GOODS","99,00","ISCHIA / ECOLEATHER PRINTED ST","WOMAN BAG","Bags      Tote"
"341449","2","8058322409652","201710","77A90326_9Y099999","SCARPA CANVAS LOGO LATERALE","40","9006","2885","TJ SHOES MAN","49,00","GENERICO","SCARPA","Shoes     Sneaker"
"303371","2","8052085762580","201650","36C90065_1Y091905","CAMICIA GEORGETTE","44","9001","2885","TRUSSARDI RTW WOMAN","195,00","GEORGETTE","CAMICIA","Shirt     Shirt"
"376689","2","8057735594344","201721","52J00043_1T001950C005","370 CLOSE DENIM LIGHT STRETCH","37","U255","3208","TRUSSARDI JEANS MAN","79,00","DENIM LIGHT STRETCH 97%CO 3%EA","370 CLOSE DENIM","Jeans 5 poDenim"
"376692","2","8057735594375","201721","52J00043_1T001950C005","370 CLOSE DENIM LIGHT STRETCH","34","U255","3208","TRUSSARDI JEANS MAN","79,00","DENIM LIGHT STRETCH 97%CO 3%EA","370 CLOSE DENIM","Jeans 5 poDenim"
